Toews ties the game,Chicago Blackhawks,Goals,Blackhawks,Bruins,NHL.com,Jonathan Toews,,Chicago,CHI,IL,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8473604&event=BOS323&server=http://video.blackhawks.nhl.com/videocenter/&pageurl=http://video.blackhawks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8473604&event=BOS323&server=http://video.blackhawks.nhl.com/videocenter/&pageurl=http://video.blackhawks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Saad lays down the hit,Chicago Blackhawks,Hits,Blackhawks,,NHL.com,Brandon Saad,,Chicago,CHI,IL,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,171&event=NSH381&server=http://video.blackhawks.nhl.com/videocenter/&pageurl=http://video.blackhawks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,171&event=NSH381&server=http://video.blackhawks.nhl.com/videocenter/&pageurl=http://video.blackhawks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Crawford keeps the Hawks ahead,Chicago Blackhawks,Saves,Blackhawks,Wild,NHL.com,Corey Crawford,,Chicago,CHI,IL,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,3,152&event=CHI561&server=http://video.blackhawks.nhl.com/videocenter/&pageurl=http://video.blackhawks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,3,152&event=CHI561&server=http://video.blackhawks.nhl.com/videocenter/&pageurl=http://video.blackhawks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Bollig and Bissonette go at it,Chicago Blackhawks,Fights,Blackhawks,Flames,Youtube,,,Chicago,CHI,IL,<iframe width='235' height='132' src='//www.youtube.com/embed/rHZqP7mvR_E?list=PLlx4uZuQW8TD79AkbkuHq3dsrFvQlZvbK' frameborder='0' allowfullscreen></iframe>
Duchene's game winner,Colorado Avalanche,Goals,Avalanche,Sharks,NHL.com,Matt Duchene,,Denver,DEN,CO,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8475168&event=COL644&server=http://video.avalanche.nhl.com/videocenter/&pageurl=http://video.avalanche.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8475168&event=COL644&server=http://video.avalanche.nhl.com/videocenter/&pageurl=http://video.avalanche.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
McLeod lays down the hit,Colorado Avalanche,Hits,Avalanche,Stars,NHL.com,Cody McLeod,,Denver,DEN,CO,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,124&event=COL70&server=http://video.avalanche.nhl.com/videocenter/&pageurl=http://video.avalanche.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,124&event=COL70&server=http://video.avalanche.nhl.com/videocenter/&pageurl=http://video.avalanche.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Varlamov makes a nice save,Colorado Avalanche,Saves,Avalanche,Coyotes,NHL.com,Semyon Varlamov,,Denver,DEN,CO,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8473575&event=PHX357&server=http://video.avalanche.nhl.com/videocenter/&pageurl=http://video.avalanche.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8473575&event=PHX357&server=http://video.avalanche.nhl.com/videocenter/&pageurl=http://video.avalanche.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Bordeleau and Staubitz go at it,Colorado Avalanche,Fights,Avalanche,Ducks,Youtube,,,Denver,DEN,CO,<iframe width='235' height='132' src='//www.youtube.com/embed/0_2Yala2ovU' frameborder='0' allowfullscreen></iframe>
Tyutin's overtime winner,Columbus Blue Jackets,Goals,Blue Jackets,Ducks,NHL.com,Fedor Tyutin,,Columbus,,OH,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8469492&event=ANA624&server=http://video.bluejackets.nhl.com/videocenter/&pageurl=http://video.bluejackets.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8469492&event=ANA624&server=http://video.bluejackets.nhl.com/videocenter/&pageurl=http://video.bluejackets.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Foligno lays down the hit,Columbus Blue Jackets,Hits,Blue Jackets,LA Kings,NHL.com,Nick Foligno,,Columbus,,OH,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,652&event=L.A27&server=http://video.bluejackets.nhl.com/videocenter/&pageurl=http://video.bluejackets.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,652&event=L.A27&server=http://video.bluejackets.nhl.com/videocenter/&pageurl=http://video.bluejackets.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
